Season,EpisodeNo,AirDate,Writers,Director,SEID,tconst,Title,EpiNo_Netflix,runtimeMinutes,numVotes,averageRating,Description,Summaries,keyWords
1,1,"July 5, 1989","Larry David, Jerry Seinfeld",Art Wolff,S01E01,tt0098286,"Good News, Bad News",1,23.0,5993,7.4,Jerry and George argue whether an overnight visitor Jerry is expecting is coming with romantic intentions.,"['In this episode, the predecessor to Seinfeld (1989), Jerry is expecting a woman that he met in Michigan to come and visit him in New York. Throughout the first part of the show Jerry and George are discussing the situation. Later we meet ""Kessler"" who comes in to Jerry\'s apartment to borrow some meat and uncharacteristically knocks on the door before entering.—Seinfeld Fan <onlyjoex@earthlink.net>']","['tv series pilot', 'cafe', 'waitress', 'coffee', 'friend', 'apartment', 'airport', 'greeting', 'wine', 'dog', 'bread', 'meat', 'mattress', 'laundromat', 'romantic interest', 'realtor', 'overnight', 'visitor', 'intentions', 'milk', 'decaf', 'purple shirt', 'button', 'purple', 'shirt', 'misunderstanding', 'watching tv', 'clothes dryer', 'refrigerator', 'sandwich', 'sitting on a couch', 'eating cereal', 'cereal', 'magazine', 'waiting', 'surprise', 'handshake', 'luggage', 'help', 'relaxation', 'hospitality', 'lap', 'man takes off shoes', 'wine bottle', 'red wine', 'evening', 'audience', 'watching sports on tv', 'microphone in shot', 'club', 'excitement', 'observational comedy', 'caffeine effect', 'intelligent woman', 'bachelor', 'eating', 'opening a can', 'drink', 'drinking', 'given a drink', 'drinking together', 'bald man', 'comedian', 'dartboard', 'blonde woman', 'woman on the phone', 'couch', 'listening to phone conversation', 'sports equipment', 'short haired woman', 'talking into a microphone', 'microphone', 'eating a sandwich', 'man eating', 'food', 'meat sandwich', 'nightgown', 'unshaved', 'drinking coffee', 'friends talking', 'argument', 'overnight guest', 'expectation', 'visit', 'discussion', 'discussing a problem', 'borrowing meat', 'knocking on a door', 'dryer', 'stand up comedy', 'stand up comedian', 'stage', 'cafeteria', 'baldness', 'boredom', 'happiness', 'laughter', 'man wears eyeglasses', 'neighbor', 'telephone', 'telephone call', 'fiance fiancee relationship', 'famous entrance', 'pilot episode with missing cast']"
1,2,"May 31, 1990","Larry David, Jerry Seinfeld",Tom Cherones,S01E02,tt0697784,The Stakeout,2,23.0,5072,7.5,Jerry and George stake out the lobby of an office building to find a woman Jerry met at a party but whose name and phone number he didn't get.,"[""Elaine drags Jerry to a birthday dinner for one of her friends where he meets an attractive woman. He promptly forgets her name and refuses to ask Elaine who she is but remembers where she works. Jerry's parents are in town to go to a family wedding and his Dad suggests he stake-out the lobby around lunchtime. George tags along but they can't quite seem to get their stories straight. Elaine hears about it making them both uncomfortable.—garykmcd""]","['reference to loni anderson', 'pornography', 'fake name', 'scrabble', 'hearing characters thoughts', 'made up word', 'reference to john cougar mellencamp', 'reference to ethel merman', 'reference to rich little', 'polishing shoes', 'birthday party', 'dream', 'video store']"
1,3,"June 7, 1990",Matt Goldman,Tom Cherones,S01E03,tt0697768,The Robbery,3,23.0,4648,7.5,"After Jerry's apartment is robbed, Jerry starts to look for other apartments. But Jerry and George both want the same apartment, and Elaine wants the apartment of whoever loses out.","[""While Elaine is apartment sitting for Jerry who's off to Minneapolis to work, the place is burglarized. Jerry returns to find his TV, VCR, computer and answering machine missing. Turns out Kramer got distracted leaving the place wide open. Jerry begins to think that George's suggestion that he move to a newer and bigger place may have merit. Elaine would very much like to get her hands on his apartment and away from her singing roommate. Turns out George decides he wants the place as well.—garykmcd""]","['braless', 'pokies', 'robbery', 'housesitting', 'guilt', 'reference to ethel merman', 'house warming', 'measuring tape', 'flipping coin', 'odd or evens game', 'plunger', 'oreo cookie', 'obscene finger gesture']"
1,4,"June 14, 1990","Larry David, Jerry Seinfeld",Tom Cherones,S01E04,tt0697645,Male Unbonding,4,23.0,4534,7.3,Jerry tries various excuses to avoid meeting with an old friend with whom he no longer shares any interests.,"[""Jerry desperately wants Joel Hornek, a childhood friend who keeps calling him and wanting to hang out together, to leave him alone. George suggests Jerry tell him the truth and break up with him much as he would with a girl. Joel doesn't take the news very well and Jerry backs off, even giving him George's ticket to an upcoming Knicks game. George meanwhile thinks he's blown it with a new girl after he lets her know he likes her. Kramer comes up with a new business idea--a make-your-own pizza place.—garykmcd""]","['childhood friend', 'bank', 'pen not working', 'jar of pennies', 'breakup', 'ping pong', 'penny', 'jar', 'jar of coins', 'crying man', 'crying male', 'new york knicks tickets', 'impatience', 'egg salad sandwich', 'fanny pack']"
1,5,"June 21, 1990","Larry David, Jerry Seinfeld",Tom Cherones,S01E05,tt0697788,The Stock Tip,5,23.0,4372,7.4,Jerry becomes apprehensive when he and George buy stock and the price falls while the person who suggested the stock is in hospital and can't tell them when to sell.,"[""George convinces Jerry to invest with him in a particular stock that almost immediately drops in price. Having lost half his investment in a just a few days, Jerry panics and wants to sell. Meanwhile, Jerry isn't very successful at getting his dry cleaner to admit they ruined his shirts. Elaine loses a grape in her kitchen. She also has doubts about her cat-loving boyfriend. Jerry asks Vanessa to go to Vermont with him for a weekend.—garykmcd""]","['coffee shop', 'investing', 'investment', 'trip', 'mistake', 'breakup', 'selling', 'fluctuation', 'newspaper', 'anxiety', 'food', 'cat lover', 'boyfriend', 'condiment', 'sneeze', 'allergic reaction', 'secret', 'stock market', 'friend', 'making a call', 'apartment', 'date', 'dating', 'shopping', 'holiday', 'stand up comedian', 'stand up comedy', 'shrunken clothing', 'confrontation', 'money', 'stock tip', 'standing in line', 'stock price', 'shares', 'hospital', 'losing part of an investment', 'audience', 'buying stock', 'drink', 'happiness', 'laughter', 'neighbor', 'telephone call', 'rain', 'stock share', 'reference to superman', 'unhappiness', 'worrying', 'talking to a stranger', 'serviette', 'sick', 'relationship breakup', 'friends hanging out', 'awkward situation', 'uncomfortable conversation', 'drinking coffee', 'soft drink', 'coffee', 'reading a newspaper', 'map', 'grape', 'dry cleaners', 'cigar smoking', 'hearing characters thoughts', 'cat allergy', 'binoculars']"
2,1,"January 16, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E01,tt0697692,The Ex-Girlfriend,1,23.0,4256,7.5,"After George breaks up with his girlfriend, Jerry decides that he wants to see her.","[""George has gone cold on his latest girlfriend, Marlene, but he hates breaking up and is tied up in knots at the prospect. Jerry encourages him to just do it quickly, just like taking off a band-aid. George finally works up the gumption to do it but forgets a few books at her apartment and asks Jerry to get them for him. Soon Jerry is under Marlene's spell, wanting her and wanting to break up with her at the same time. Elaine meanwhile is growing increasingly annoyed with one of her neighbors who won't acknowledge her when they pass each other in the building.—garykmcd"", 'Jerry begins seeing George\'s ex-girlfriend, Marlene, whom George finds altogether annoying. Jerry wants to break up with Marlene but can\'t because she has a ""psychosexual hold"" on him. Marlene then breaks up with Jerry after seeing his comedy act. George is angry over a huge chiropractor bill, which he argues that he shouldn\'t have to pay for.—Anonymous']","['ex girlfriend', 'returning belongings', 'chiropractor', 'answering machine', 'waiting room', 'canteloupe', '555 phone number', 'traffic']"
2,2,"January 30, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E02,tt0697757,The Pony Remark,2,23.0,4427,7.9,Jerry fears that an inappropriate comment he made at a dinner party caused his relative's subsequent death.,"[""Jerry attends a family anniversary dinner with Elaine as his date but he puts his foot in it when he says he can't stand people who had a pony as a kid. Well, the hostess Manya did have one growing up and leaves the table upset. Jerry feels embarrassed by it all but when he learns that Manya died in the night, he feels responsible. To make matters worse, her funeral is scheduled at the same time as his baseball team is playing its championship game. Meanwhile, Jerry and Kramer have a disagreement over the meaning of a bet.—garykmcd""]","['animal in episode title', 'pony', 'potato salad', 'death by heart attack', 'funeral', 'softball', 'rain', 'poland', 'distant relative', 'family dinner', 'returning character with different actor']"
2,3,"February 6, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E03,tt0697713,The Jacket,3,23.0,4498,8.2,"Jerry wears an expensive jacket when he meets Elaine's father, but an argument ensues when Jerry is reluctant to wear it outside during a snowfall.","[""While out shopping with Elaine, Jerry comes across the perfect suede jacket. It's pricey, but it fits him like a glove and he decides to splurge on himself. Elaine's father, Alton Benes, is is in town and she wants Jerry and George to join for dinner. They're a bit intimidated with the elder Benes being a well known author. He also a cranky old coot who scares them into silence. When Elaine is delayed, the threesome don't have a lot to say. When they set off for dinner, Jerry is afraid to wear his new jacket in the snow. Meanwhile, George has been to see Les Miserables and can't get one of the show tunes out of his head.—garykmcd""]","['korea veteran', 'legs crossed', 'crotchety old man', 'snow', 'suede jacket', 'song stuck in mind', 'applying lipstick', 'impersonation', 'intimidation', 'cranberry juice', 'club soda', 'scotch on the rocks', ""men's clothing store""]"
2,4,"February 13, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E04,tt0697751,The Phone Message,4,23.0,4369,8.4,"George leaves several awkward messages on a girlfriend's answering machine, then decides to steal the tape.","['After a pleasant first date with with Carol, she invites him up for coffee but George says no thanks - and only laster realizes what she may have meant. He reluctantly decides to call her the next day but embarrasses himself even further by leaving a foolish message. He decides he has to get to her machine and retrieve the messages before she does. Jerry meanwhile goes on a date with Donna but they get into an argument when she says she likes a particular TV commercial that Jerry just hates.—garykmcd']","['date', 'answering machine tape', 'tv commercial', 'leaving message on answering machine', 'backgammon', 'lollipop', 'cotton dockers']"
2,5,"April 4, 1991",Peter Mehlman,Tom Cherones,S02E05,tt0697650,The Apartment,5,23.0,4000,7.8,"When an apartment becomes available in Jerry's building, he helps Elaine get it, only to regret his decision to do so. George starts wearing a wedding ring because he's heard that it helps single guys pick up women.","[""When Jerry hears that his 94 year-old neighbor Mrs Hudwalker has died, he arranges for Elaine to get her apartment. He almost immediately regrets it when Elaine starts to talk about how much time they'll be able to spend together. He's elated when he hears that it will cost her $5000 to get the place but Kramer comes up with a solution. George decides to wear a wedding band after he's told it will attract women. Kramer meanwhile decides on a new look.—garykmcd""]","['single man wears a wedding ring', 'wedding ring', 'noisy neighbor', 'loaning money to a friend', 'pushing someone', 'moussed hair']"
